类别,材料,成分/描述,密度,密度单位,弹性模量_psi,屈服强度_ksi,抗拉强度_ksi,压缩强度_ksi,抗弯强度_ksi,弯曲模量_ksi,吸水率,含水率_pct,撕裂强度,耐磨性,泊松比,海水电位_V,腐蚀类型,海洋环境行为,孔隙率_vol%,折射率,用途,特别说明,来源页码,密度_min,密度_max,弹性模量_min_psi,弹性模量_max_psi,屈服强度_min_ksi,屈服强度_max_ksi,抗拉强度_min_ksi,抗拉强度_max_ksi,电位_min_V,电位_max_V
铁和钢,HY-80 Steel,"2 - 3.25% Ni, 1 - 1.8% Cr, 0.2% - 0.6% Mo, 0.15 - 0.35% Si, <0.25% P and S, 0.1 - 0.4% Mn, 0.18% C, remainder Fe",0.284,lb/in3,30 x 106,80 - 100 (Quenched and Tempered),103 (Quenched and Tempered),,,,,,,,,-0.63,Mostly uniform.,,,,"Hull plating, offshore platforms, tanks pressure vessels, cranes, booms","Coatings and/or cathodic protection is needed for marine use. Galvanic attack may occur if this alloy is immersed in seawater and in contact with copper alloys, nickel alloys, stainless steels, or titanium alloys.",7,0.284,0.284,30000000.0,30000000.0,80.0,100.0,103.0,103.0,-0.63,-0.63
铁和钢,HY-100 Steel,"2.25 - 3.5% Ni, 1 - 1.8% Cr, 0.2% - 0.6% Mo, 0.15 - 0.35% Si, <0.25% P and S, 0.1 - 0.4% Mn, 0.2% C, remainder Fe",0.284,lb/in3,30 x 106,100 - 105 (Quenched and Tempered),110 - 118 (Quenched and Tempered),,,,,,,,,-0.63,Mostly uniform. Some tendency towards SCC and hydrogen embrittlement.,,,,"Hull plating, offshore platforms, tanks pressure vessels, cranes, booms","Coatings and/or cathodic protection is needed for marine use. Galvanic attack may occur if this alloy is immersed in seawater and in contact with copper alloys, nickel alloys, stainless steels, or titanium alloys.",7,0.284,0.284,30000000.0,30000000.0,100.0,105.0,110.0,118.0,-0.63,-0.63
铁和钢,Low Alloy-High Strength Steels (ASTM A-242 and A-441),"0.18 - 0.22% C, 0.5 - 1.5% (each) Mn, Ni, Cr, ~0.25% (each) P, Si, S, Cu, remainder Fe",0.283,lb/in3,30 x 106,40 - 60 (Annealed),60 - 80 (Annealed),,,,,,,,,-0.57 to -0.63,Mostly uniform with some crevice corrosion and pitting.,,,,Structural sections and members.,"Coatings and/or cathodic protection is needed for marine use. Galvanic attack may occur if this alloy is immersed in seawater and in contact with copper alloys, nickel alloys, stainless steels, or titanium alloys.",7,0.283,0.283,30000000.0,30000000.0,40.0,60.0,60.0,80.0,-0.63,-0.57
铁和钢,Maraging 300 Steel,"18 - 19 % Ni, 8.5 - 9.5% Co, 4.7 - 5.2% Mo, 0.5 - 0.7% Ti, 0.05 - 0.15% Al, < 0.03% C, remainder Fe",0.290,lb/in3,29 x 106,295 - 303 (Heat Treated),297 - 306 (Heat Treated),,,,,,,,,-0.57 to -0.58,"Uniform, SCC, and hydrogen embrittlement. SCC and embrittlement can be controlled with cathodic protection.",,,,High strength weldable structural pieces.,"Coatings and/or cathodic protection is needed for marine use. Galvanic attack may occur if this alloy is immersed in seawater and in contact with copper alloys, nickel alloys, stainless steels, or titanium alloys.",8,0.29,0.29,29000000.0,29000000.0,295.0,303.0,297.0,306.0,-0.58,-0.57
钛及钛合金,Unalloyed Titanium,98.9 - 99.5% Ti,0.163,lb/in3,15 x 106,up to 90 (Cold Worked),up to 100 (Cold Worked),,,,,,,,,-0.05 to +0.06,None.,,,,"Structural members, marine parts requiring immunity, impressed current anodes.",SCC is possible if titanium contains higher levels of oxygen.,8,0.163,0.163,15000000.0,15000000.0,90.0,90.0,100.0,100.0,-0.05,0.06
钛及钛合金,Titanium 6Al-4V,"5.5 - 6.5% Al, 3.5 - 4.5% V, <0.25% Fe, remainder Ti",0.160,lb/in3,16.5 x 106,155 (Age Hardened),165 - 170 (Age Hardened),,,,,,,,,-0.05 to +0.06,"None, except some tendency for SCC.",,,,"Pumps, impellers, structural members, marine hardware and parts requiring immunity.",None,8,0.16,0.16,16500000.0,16500000.0,155.0,155.0,165.0,170.0,-0.05,0.06
不锈钢,302 Stainless Steel,"70.85 - 74.85% Fe, 17 - 19% Cr, 8 - 10% Ni, 0.15% C",0.290,lb/in3,28 x 106,75 (Quarter Hard),125 (Quarter Hard),,,,,,,,,-0.05 to -0.10 (passive) -0.45 to -0.57 (active),Crevice and pitting corrosion. Susceptible to local attack in areas covered by fouling,,,,General purpose in non- submerged applications.,"Local attack minimized in water velocities > 5 fps, but not generally recommended for submerged use due to pitting.",9,0.29,0.29,28000000.0,28000000.0,75.0,75.0,125.0,125.0,-0.57,-0.05
不锈钢,303 Stainless Steel,"17 - 19% Cr, 8 - 10% Ni, > 0.15% S or Se, 0.15% C, remainder Fe",0.290,lb/in3,28 x 106,75 (Cold Worked),110 (Cold Worked),,,,,,,,,-0.05 to -0.10 (passive) -0.45 to -0.57 (active),Severe crevice and pitting corrosion. Susceptible to local attack in areas covered by fouling,,,,Generally not recommended for seawater application.,"This grade may be substituted for others by suppliers with devastating consequences. Non-magnetic, austenitic alloy.",9,0.29,0.29,28000000.0,28000000.0,75.0,75.0,110.0,110.0,-0.57,-0.05
不锈钢,304 Stainless Steel,"67.92 - 72.92% Fe, 18 - 20% Cr, 9 - 12% Ni, 0.08% C",0.290,lb/in3,28 x 106,75 (Cold Worked),110 (Cold Worked),,,,,,,,,-0.09 to -0.15 (passive) -0.20 to -0.57 (active),Crevice and pitting corrosion. Susceptible to local attack in areas covered by fouling. Heat effected zones may be sensitized.,,,,Topside wire rope and general purpose submerged use where velocities are > 5 fps.,"Cathodic protection is necessary for submerged structural applications when exposure is greater than two months. Non-magnetic, austenitic alloy.",9,0.29,0.29,28000000.0,28000000.0,75.0,75.0,110.0,110.0,-0.57,-0.09
不锈钢,316 Stainless Steel,"64.92 - 71.92% Fe, 16 - 18% Cr, 10 - 14% Ni, 2 - 3% Mo, 0.08% C",0.290,lb/in3,28 x 106,30 - 42 (Annealed),80 - 90 (Annealed),,,,,,,,,-0.00 to -0.15 (passive) -0.35 to -0.60 (active),Crevice and pitting corrosion. Susceptible to local attack especially in areas covered by fouling. Heat effected zones may be sensitized.,,,,Topside wire rope and general purpose where velocities are > 5 fps.,"Cathodic protection is necessary for submerged structural applications when exposure is greater than six months. This is the most corrosion resistant 300 series stainless. Non-magnetic, austenitic alloy.",10,0.29,0.29,28000000.0,28000000.0,30.0,42.0,80.0,90.0,-0.6,-0.0
不锈钢,17-4 PH Stainless Steel,"16.5% Cr, 4% Ni, 4% Cu, 0.3% Nb and Ta, 0.07% C, remainder Fe",0.280 - 0.282,lb/in3,28.5 x 106,178 - 185 (Hardened),200 (Hardened),,,,,,,,,-0.10 to -0.20 (passive) -0.20 to -0.40 (active),Crevice and pitting corrosion. Weld bead attack.,,,,Parts with moderate corrosion resistance and high strength to weight ratio.,"Cathodic protection should be from impressed current or mild steel sacrificial anodes. Problems arise with aluminum, zinc, and magnesium anodes. Cathodic protection may lead to hydrogen embrittlement and cracking.",10,0.28,0.282,28500000.0,28500000.0,178.0,185.0,200.0,200.0,-0.4,-0.1
不锈钢,410 Stainless Steel,"85.35 - 87.35% Fe, 11.5 - 13.5% Cr, 1% Mn, 0.15% C",0.280,lb/in3,29 x 106,140 - 145 (Heat Treated),180 - 190 (Heat Treated),,,,,,,,,-0.24 to -0.35 (passive) -0.45 to -0.57 (active),Severe crevice and pitting corrosion.,,,,Applications where a high strength alloy is important. Submerged applications require cathodic protection to prevent localized attack.,"Magnetic, martensitic alloy.",10,0.28,0.28,29000000.0,29000000.0,140.0,145.0,180.0,190.0,-0.57,-0.24
其他金属,Commercially Pure Magnesium,99.98% Mg,0.063,lb/in3,5.7 x 106 - 6.5 x 106,3 (As Cast),13 (As Cast),,,,,,,,,-1.60 to -1.63,Rapid uniform corrosion. Severe galvanic effects when coupled with all common marine metals.,,,,Sacrificial anodes and corrosive links.,Not suitable for structural applications in seawater.,11,0.063,0.063,5700000.0,6500000.0,3.0,3.0,13.0,13.0,-1.63,-1.6
其他金属,Zinc,"99.92% Zn, 0.08% Pb",0.258,lb/in3,----,----,19 - 23 (Hot Rolled),,,,,,,,,-0.98 to -1.03,Uniform corrosion with some pitting in anaerobic conditions.,,,,"Galvanizing, sacrificial anodes and corrosive links.",None.,11,0.258,0.258,,,,,19.0,23.0,-1.03,-0.98
其他金属,Lead,----,0.410,lb/in3,2.0 x 106,----,2.0 (As Cast),,,,,,,,,-0.19 to -0.25,Uniform corrosion.,,,,"Galvanizing, sacrificial anodes and corrosive links.",None.,11,0.41,0.41,2000000.0,2000000.0,,,2.0,2.0,-0.25,-0.19
其他金属,Gold,99.5 - 99.99% Au,0.698,lb/in3,10.8 x 106 - 11.6 x 106,30 (60% Cold Worked),32 (60% Cold Worked),,,,,,,,,----,Completely resistant to marine corrosion.,,,,Specialty applications and electrical contacts.,None.,11,0.698,0.698,10800000.0,11600000.0,30.0,60.0,32.0,60.0,,
其他金属,Platinum,99.85% Pt,0.775,lb/in3,21 x 106 - 25 x 106,27 (50% Cold Worked),28 - 30 (50% Cold Worked),,,,,,,,,+0.20 to +0.35,Completely resistant to marine corrosion.,,,,Impressed current anodes and electrical contacts.,None.,12,0.775,0.775,21000000.0,25000000.0,27.0,50.0,28.0,50.0,0.2,0.35
其他金属,Silver,99.9% Ag,0.379,lb/in3,10.3 x 106 - 11.3 x 106,44 (50% Cold Worked),up to 54 (50% Cold Worked),,,,,,,,,-0.09 to -0.14,Slight uniform corrosion. Increased tarnish with sulfur compounds present.,,,,Electrical conductors and radar applications. Solder when alloyed.,None.,12,0.379,0.379,10300000.0,11300000.0,44.0,50.0,50.0,54.0,-0.14,-0.09
聚合物/橡胶/弹性体,"ABS, Medium Impact",Thermoplastic (acrylonitrile butadiene styrene),1.05 - 1.07,SG(无量纲),3.0 x 105 - 4.1 x 105,,5.9 - 8.0,,,,0.2 - 0.45% in 24 hrs.,,,,,,,Slight yellowing and embrittlement in direct sunlight. No chemical degradation in seawater. Not attacked by borers unless in contact with wood.,,,"Multiple structural uses. Pipe, tubing, instrument housings, bearings.",,13,1.05,1.07,300000.0,410000.0,,,5.9,8.0,,
聚合物/橡胶/弹性体,"Acetal, Standard Homopolymer","Thermoplastic (tradenames - Delrin, Celcon)",1.43,SG(无量纲),5.2 x 105,,10.0,,,,0.25% in 24 hrs.,,,,,,,Slight chalking in sunlight. No chemical degradation in seawater. Usually not attacked by borers unless in contact with wood or tape. It is attacked by strong acids and bases. Excellent resistance to many organic solvents.,,,"Gears, bushings, levers, shafts, springs, hardware.",,13,1.43,1.43,520000.0,520000.0,,,10.0,10.0,,
聚合物/橡胶/弹性体,Cast Acrylics,"Polymethyl methacrylate (tradenames - Lucite, Perspex, Plexiglas)",1.17 - 1.28,SG(无量纲),2.7 x 105 - 5.0 x 105,,5.5 - 8.0 (High Impact Sheet),,,,0.2 - 0.5% in 24 hrs.,,,,,,,"Usually not affected by sunlight. No chemical degradation in seawater. Usually not attacked by borers unless in contact with wood or tape. Water absorption can lead to a 10% reduction in hardness and up to a 30% reduction in tensile strength. It is attacked by strong acids and bases. Soluble in ketones, esters, and aromatic and chlorinated hydrocarbons. Excellent resistance to many organic solvents.",,,"Lenses, windows, housings and many general purpose applications.",,13,1.17,1.28,270000.0,500000.0,,,5.5,8.0,,
聚合物/橡胶/弹性体,Epoxy,Diglycidal ether of bisphenol A,1.1 - 2.0,SG(无量纲),5 x 105 - 15 x 105,,5 - 15,,,,0.1 - 1.0% in 24 hrs.,,,,,,,Resistant to sunlight with UV inhibitors. Usually not attacked by borers unless in contact with wood or tape. May be attacked by sulfuric and acetic acid. Some attack by stong bases. Resistant to organic solvents and weak acids and bases.,,,"Potting material for electical components, castings, marine coatings, adhesives, patching compounds.",,13,1.1,2.0,500000.0,1500000.0,,,5.0,15.0,,
聚合物/橡胶/弹性体,"Nylon, Type 6","Thermoplastic, polyamide",1.14,SG(无量纲),3.8 x 105,,9.5 - 12.5,,,,1.3 - 1.9% in 24 hrs.,,,,,,,"Embrittled by prolonged exposure to sunlight. Usually not attacked by borers unless in contact with wood. May be attacked by strong acids, phenols, and formic acid. Resistant to bases, weak acids, and most common solvents. Water absorption and swelling may alter dimensions and mechanical properties",,,"Bearings, gears, bushings, housings, rods, ropes, coatings.",,14,1.14,1.14,380000.0,380000.0,,,9.5,12.5,,
聚合物/橡胶/弹性体,Polycarbonate (unfilled),"Tradenames - Lexan, Merlon",1.19 - 1.25,SG(无量纲),3.0 x 105 - 4.5 x 105,,9.0 - 10.5,,,,0.12 - 0.19% in 24 hrs.,,,,,,,"Sunlight may lead to a slight color change and some embrittlement. No chemical degradation in seawater. Usually not attacked by borers unless in contact with wood. Low water absorption leads to good dimensional stability and retention of properties. It is attacked by strong acids and bases, organic solvents, and fuels. Resistance to weak acids, oils, and greases.",,,"Lenses, windows, housings, impellers and parts requiring high impact resistance.",,14,1.19,1.25,300000.0,450000.0,,,9.0,10.5,,
聚合物/橡胶/弹性体,"Polyethylene, High Density","Thermoplastic (Tradenames - Marlex, Norchem, Rulan)",0.95 - 0.96,SG(无量纲),3.0 x 105 - 4.5 x 105,,4.4,,,,< 0.01% in 24 hrs.,,,,,,,Greatly degraded by sunlight if inhibitors are not used. Usually not attacked by borers unless in contact with wood. Generally shows excellent resistance to the marine environment. Good chemical resistance. Slowly attacked by strong acids.,,,"Wire and cable insulation, pipe, housings.",,14,0.95,0.96,300000.0,450000.0,,,4.4,4.4,,
聚合物/橡胶/弹性体,Polypropylene,General purpose and high impact thermoplastic,0.89 - 0.91,SG(无量纲),1.6 x 105 - 2.2 x 105,,4.3 - 5.5,,,,< 0.01 - 0.03% in 24 hrs.,,,,,,,Greatly degraded by sunlight if inhibitors are not used. Usually not attacked by borers unless in contact with wood. Generally shows excellent resistance to the marine environment. Good chemical resistance. Slowly attacked by strong acids.,,,"Wire and cable coatings, film, packaging, hinges housings.",,14,0.89,0.91,160000.0,220000.0,,,4.3,5.5,,
聚合物/橡胶/弹性体,"Teflon, PTFE","Polytetrafluoroethylene (tradenames - Teflon, Fluon, Halon, Rulon)",2.1 - 2.3,SG(无量纲),0.38 x 105 - 0.65 x 105,,2.0 - 6.5,,,,0.01% in 24 hrs.,,,,,,,Not degraded by sunlight. Usually not attacked by borers unless in contact with wood. Generally shows excellent resistance to the marine environment. Excellent chemical resistance. May be attacked by the alkali metals.,,,"Pipes, valves, bearings, impellers, electrical insulators, non-stick coatings.",,15,2.1,2.3,38000.0,65000.0,,,2.0,6.5,,
聚合物/橡胶/弹性体,"Polyvinyl Chloride, PVC","Polytetrafluoroethylene (tradenames - Teflon, Fluon, Halon, Rulon)",1.30 - 1.45,SG(无量纲),3.5 x 105 - 6.0 x 105,,5.5 - 9.0,,,,0.03 - 0.04% in 24 hrs.,,,,,,,"Sunlight produces minor effects. Generally shows good resistance to the marine environment. Attacked by strong acids, ketones, esters, and aromatic hydrocarbons. Resistant to alcohols, aliphatic hydrocarbons, oils, bases, and weak acids.",,,"Pipes, tanks, molded and extruded parts, housings.",,15,1.3,1.45,350000.0,600000.0,,,5.5,9.0,,
聚合物/橡胶/弹性体,Butyl Rubber,Isobutylene-isoprene,0.90,SG(无量纲),,,2.5 - 3.0,,,,,,Good,Good to Excellent,,,,"Very good resistance to sunlight produces. Excellent resistance to swelling in water. Resistant to acids, oxidation and heat aging. Vulnerable to many solvents, oils, and fuels.",,,"Flexible electrical insulation, hose, shock absorption, diaphragms.",,15,0.9,0.9,,,,,2.5,3.0,,
聚合物/橡胶/弹性体,Natural and Synthetic Rubber,Polyisoprene,0.93,SG(无量纲),,,2.5 - 4.5,,,,,,Excellent,Excellent,,,,"Fair to poor resistance to sunlight. Marine exposure may cause some swelling. Microorganisms and hydrogen sulfide may lead to severe cracking. Resistant to oxidation and heat aging. Vulnerable to many solvents, oils, and fuels. Shows fair to good resistance to organic acids.",,,"Seals, gaskets, hose, chemical tank linings.",,15,0.93,0.93,,,,,2.5,4.5,,
聚合物/橡胶/弹性体,Neoprene Rubber,Chloroprene,1.25,SG(无量纲),,,3.0 - 4.0,,,,,,Fair to Good,Good,,,,"Very good resistance to sunlight. Marine exposure may cause some swelling. May be degraded by aromatic hydrocarbons. Good to excellent resistance to other organic solvents, oils, fuels, acids, and heat.",,,"Seals, gaskets, chemical tank linings, wetsuits.",,16,1.25,1.25,,,,,3.0,4.0,,
聚合物/橡胶/弹性体,Fluorocarbon Elastomers,"Trade names: Kel-F, Viton",1.40 - 1.95,SG(无量纲),,,1.5 - 3.0,,,,,,Poor to Fair,Good,,,,"Very good resistance to sunlight and swelling. May be degraded by alkalies, synthetic lubricants, hydraulic fluids containing phosphates. Excellent resistance to high temperature air and oils.",,,"O-rings, seals, gaskets, hose, shaft seals.",,16,1.4,1.95,,,,,1.5,3.0,,
聚合物/橡胶/弹性体,Urethane Elastomers,"Trade names: Adiprene, Cyanaprene, Elastothane, Roylar",1.07,SG(无量纲),,,5.0 - 8.0,,,,,,Excellent,Superior,,,,"Very good resistance to sunlight and swelling (except at high temperatures). May be degraded by acids, alkalies, oxygenated alcohols. Excellent resistance to hydrocarbon solvents, oils.",,,Components requiring superior abrasion resistance.,,16,1.07,1.07,,,,,5.0,8.0,,
